职位,公司,工作天数,薪资
链家总部销售实习生/...,北京链家 - 房地产,≥6天,199-388/天
房产销售/销售代表/...,北京链家 - 房地产,≥6天,199-388/天
房产经纪人/房产销售...,北京链家 - 房地产,≥4天,200-400/天
销售实习生/完善的职...,北京链家 - 房地产,≥6天,188-366/天
新媒体,水母科技 - 生物/医药,≥5天,100-200/天
财务实习生,阿博茨科技 - 互联网,≥4天,150-200/天
课程老师,北京萤火虫 - 教育/培训,≥5天,300-500/天
网络营销,北京萤火虫 - 教育/培训,≥5天,300-500/天
课程顾问,北京萤火虫 - 教育/培训,≥5天,300-500/天
课程咨询师,北京萤火虫 - 教育/培训,≥5天,200-400/天
金融分析师实习生,阿博茨科技 - 互联网,≥3天,50-60/天
财经编辑实习生,阿博茨科技 - 互联网,≥4天,150-200/天
产品实习生（中投项目...,阿博茨科技 - 互联网,≥4天,150-200/天
运营实习生（中投项目...,阿博茨科技 - 互联网,≥4天,150-200/天
商业分析,腾讯 - 互联网,≥3天,150-150/天
市场实习生,tataUFO - 互联网,≥4天,130-140/天
运营实习生,tataUFO - 互联网,≥5天,100-120/天
英文翻译实习生,tataUFO - 互联网,≥4天,140-150/天
市场实习生（区块链方...,tataUFO - 互联网,≥4天,130-140/天
销售/代表/应届生/...,北京链家 - 房地产,≥6天,188-366/天
HR实习生,好未来 - 教育/培训,≥3天,120-120/天
人力资源实习生,泰禾集团 - 房地产,≥3天,面议
机构销售部实习生,华泰联合证券,≥4天,面议
前端实习生,美团点评 - 互联网,≥4天,面议
运营实习生,腾讯 - 互联网,≥5天,149-150/天
实习家教（语文）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（历史）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（生物）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（英语）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（地理）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（政治）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
